variable,before,after
American Kestrel,1.839626231,-0.786221669
American Kestrel,2.000833568,-1.3334729
American Kestrel,2.133176778,-1.273872561
American Kestrel,2.053347188,-1.210129882
American Kestrel,2.520017714,-1.201758069
American Kestrel,2.283413,-1.096707034
American Kestrel,2.324694686,-1.124482667
American Kestrel,2.536668473,-0.879959228
American Kestrel,1.919786843,-1.18234601
American Kestrel,2.200495271,-1.153167626
American Kestrel,2.250790319,-1.11386156
American Kestrel,3.012208692,-1.007873717
American Kestrel,1.75403536,-0.892229061
American Kestrel,3.025949968,-0.541133463
American Kestrel,1.874459542,-1.030494257
American Kestrel,2.337541299,-1.002999872
American Kestrel,2.326778362,-0.692237181
American Kestrel,2.673602465,-0.827956764
American Kestrel,2.867866558,-0.898449727
American Kestrel,1.90172793,-1.428117115
American Kestrel,2.452292645,-0.872195033
American Kestrel,1.772412265,-0.957702714
American Kestrel,1.881848781,-0.938881597
American Kestrel,1.818836229,-0.941222927
American Kestrel,1.588865227,-1.15371168
American Kestrel,2.20028873,-1.437281753
American Kestrel,1.96835583,-1.103751281
American Kestrel,2.067376201,-0.996719396
American Kestrel,2.00163588,-0.713285114
American Kestrel,2.584196687,-1.016665607
American Kestrel,1.808965044,-0.984627717
American Kestrel,1.989508622,-1.093085469
American Kestrel,1.840688001,-1.02498774
American Kestrel,2.316340409,-1.232571389
American Kestrel,2.544848246,-1.00668337
American Kestrel,1.66273908,-1.226771291
American Kestrel,2.033144514,-0.968247311
American Kestrel,2.172503958,-0.861467168
American Kestrel,2.898224453,-0.994050151
American Kestrel,2.092934147,-1.081695309
American Kestrel,2.605236344,-1.079276183
American Kestrel,2.827821245,-1.217646808
American Kestrel,1.177493901,-1.384723577
American Kestrel,1.392403469,-1.271106727
American Kestrel,1.797494836,-1.12137371
American Kestrel,1.881333765,-1.214119535
American Kestrel,1.621090076,-0.804924364
American Kestrel,1.840843765,-1.517736825
American Kestrel,1.664091508,-0.99357707
American Kestrel,2.581589529,-1.187753105
American Kestrel,1.16119332,-0.631527004
American Kestrel,2.308940946,-1.205628422
American Kestrel,2.566440997,-1.003747916
American Kestrel,2.693712753,-0.940526127
American Kestrel,2.150603239,-0.94929636
American Kestrel,2.203096274,-1.124833023
American Kestrel,2.33750076,-1.340175125
American Kestrel,2.746899988,-0.942126541
American Kestrel,1.631665594,-1.27389813
American Kestrel,2.229407377,-1.049718155
American Kestrel,1.405871021,-0.913810026
American Kestrel,1.855965284,-0.938541938
American Kestrel,1.049336297,-1.193103748
American Kestrel,2.30437008,-1.208307079
American Kestrel,2.346711302,-0.579904628
American Kestrel,1.850442034,-1.125162247
American Kestrel,1.993841542,-1.146377912
American Kestrel,1.819385283,-1.511232807
American Kestrel,1.296387117,-1.296711998
American Kestrel,2.084562607,-1.13918817
American Kestrel,2.081572141,-1.177634107
American Kestrel,2.507621974,-1.087599679
American Kestrel,2.460319117,-1.145544045
American Kestrel,1.880264756,-0.843947869
American Kestrel,1.735789483,-0.971191945
American Kestrel,2.321706587,-1.10910178
American Kestrel,1.992024827,-1.060960216
American Kestrel,1.643030681,-0.963116064
American Kestrel,1.981953419,-0.648440244
American Kestrel,2.340221998,-0.826016251
